ANID,Group,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
V01,23G-V,0.24 ,0.00 ,0.40 ,0.15 ,1.59 ,0.02 ,0.51 ,0.06 ,3.73 ,0.01 ,0.01 ,329.67 ,0.01 ,0.92 ,0.20 ,0.12 ,0.06 ,0.48 ,0.00 ,0.00 ,0.02 ,0.95 ,10.19 ,847.04 ,0.00 ,158.39 ,0.04 ,183.09 ,1.65 ,173.58 ,0.00 ,4.18 
V04,23G-V,4.26 ,0.01 ,2.84 ,0.49 ,0.91 ,0.11 ,2.33 ,0.06 ,2.55 ,0.01 ,0.08 ,166.57 ,0.02 ,2.16 ,0.32 ,0.04 ,0.12 ,0.90 ,0.00 ,0.06 ,0.03 ,1.05 ,8.72 ,1364.50 ,0.00 ,0.00 ,0.23 ,223.03 ,0.76 ,232.94 ,0.00 ,2.20 
V05,23G-V,7.86 ,0.03 ,3.82 ,0.61 ,1.28 ,0.12 ,2.01 ,0.17 ,6.97 ,0.03 ,0.10 ,461.48 ,0.03 ,1.43 ,0.40 ,0.07 ,0.19 ,2.42 ,0.00 ,0.07 ,0.04 ,4.52 ,10.81 ,1499.40 ,12.22 ,0.00 ,0.43 ,521.82 ,1.07 ,313.09 ,0.00 ,4.30 
V06,23G-V,5.57 ,0.03 ,2.80 ,0.53 ,2.11 ,0.12 ,1.89 ,0.08 ,8.60 ,0.03 ,0.07 ,349.27 ,0.03 ,2.48 ,0.49 ,0.05 ,0.26 ,2.34 ,0.00 ,0.05 ,0.05 ,2.81 ,13.44 ,1015.50 ,14.84 ,0.00 ,0.24 ,398.87 ,1.51 ,321.43 ,0.00 ,2.68 
V09,23G-V,0.62 ,0.00 ,0.73 ,0.18 ,1.47 ,0.02 ,0.62 ,0.05 ,3.71 ,0.01 ,0.01 ,143.84 ,0.01 ,0.41 ,0.29 ,0.08 ,0.06 ,0.99 ,0.00 ,0.01 ,0.02 ,0.73 ,9.16 ,897.77 ,0.00 ,0.00 ,0.08 ,0.00 ,1.52 ,161.12 ,0.00 ,4.23 
V10,23G-V,4.56 ,0.02 ,3.09 ,0.57 ,0.98 ,0.10 ,2.63 ,0.06 ,2.54 ,0.01 ,0.09 ,249.83 ,0.02 ,0.99 ,0.19 ,0.05 ,0.11 ,1.15 ,0.00 ,0.06 ,0.02 ,1.56 ,7.93 ,1390.70 ,6.53 ,0.00 ,0.41 ,433.07 ,0.50 ,230.15 ,0.00 ,2.81 
V12,23G-V,7.21 ,0.02 ,4.88 ,0.82 ,0.95 ,0.13 ,3.11 ,0.09 ,3.03 ,0.01 ,0.14 ,233.92 ,0.02 ,2.02 ,0.45 ,0.05 ,0.11 ,1.60 ,0.00 ,0.09 ,0.04 ,1.57 ,8.52 ,1759.30 ,0.00 ,0.00 ,0.29 ,488.28 ,0.57 ,285.25 ,0.00 ,3.05 
W01,23G-WX,0.35 ,0.00 ,0.52 ,0.12 ,1.02 ,0.02 ,0.49 ,0.05 ,5.82 ,0.00 ,0.01 ,186.11 ,0.00 ,0.00 ,0.12 ,0.03 ,0.03 ,37.06 ,0.00 ,0.01 ,0.01 ,0.48 ,6.34 ,814.12 ,33.54 ,16259.00 ,0.00 ,0.00 ,5.31 ,183.33 ,0.00 ,3.44 
W02,23G-WX,0.27 ,0.00 ,0.44 ,0.14 ,1.25 ,0.02 ,0.54 ,0.03 ,4.06 ,0.00 ,0.01 ,132.56 ,0.01 ,0.00 ,0.08 ,0.12 ,0.07 ,10.34 ,0.00 ,0.01 ,0.02 ,0.31 ,7.16 ,1293.50 ,43.69 ,2484.40 ,0.05 ,0.00 ,1.18 ,397.97 ,0.00 ,2.37 
W03,23G-WX,0.18 ,0.00 ,0.51 ,0.12 ,1.28 ,0.01 ,0.43 ,0.08 ,3.45 ,0.00 ,0.00 ,243.75 ,0.01 ,0.00 ,0.07 ,0.02 ,0.02 ,3.75 ,0.00 ,0.00 ,0.00 ,0.24 ,7.30 ,959.60 ,10.20 ,867.66 ,0.00 ,0.00 ,2.33 ,275.56 ,0.00 ,2.01 
W04,23G-WX,4.80 ,0.04 ,4.39 ,0.87 ,0.93 ,0.28 ,5.18 ,1.53 ,5.55 ,0.00 ,0.16 ,3606.00 ,0.03 ,2.54 ,0.27 ,0.18 ,0.13 ,13.80 ,0.00 ,0.12 ,0.14 ,3.55 ,8.86 ,1432.70 ,17.78 ,7345.30 ,0.47 ,0.00 ,11.29 ,417.27 ,0.00 ,13.84 
W05,23G-WX,0.38 ,0.00 ,0.75 ,0.17 ,1.22 ,0.02 ,0.58 ,0.10 ,5.58 ,0.00 ,0.02 ,538.39 ,0.02 ,0.00 ,0.24 ,0.10 ,0.08 ,2.81 ,0.00 ,0.01 ,0.02 ,0.35 ,8.20 ,800.35 ,0.00 ,399.16 ,0.06 ,0.00 ,2.54 ,683.62 ,0.00 ,5.55 
W14,23G-WX,0.85 ,0.02 ,1.12 ,0.25 ,1.06 ,0.04 ,1.53 ,0.05 ,5.46 ,0.00 ,0.03 ,213.61 ,0.01 ,0.00 ,0.11 ,0.05 ,0.07 ,1.77 ,0.00 ,0.02 ,0.02 ,0.40 ,6.72 ,1067.30 ,12.92 ,0.00 ,0.11 ,207.26 ,0.91 ,138.03 ,0.00 ,4.98 
X01,23G-WX,0.15 ,0.00 ,0.37 ,0.11 ,1.30 ,0.01 ,0.40 ,0.02 ,3.73 ,0.00 ,0.00 ,97.14 ,0.00 ,0.00 ,0.10 ,0.03 ,0.02 ,6.00 ,0.00 ,0.00 ,0.01 ,0.20 ,7.01 ,1128.40 ,18.38 ,1059.30 ,0.00 ,0.00 ,2.79 ,323.66 ,0.00 ,2.60 
X02,23G-WX,0.13 ,0.00 ,0.28 ,0.10 ,1.10 ,0.01 ,0.39 ,0.01 ,1.55 ,0.00 ,0.00 ,42.58 ,0.00 ,0.00 ,0.08 ,0.02 ,0.03 ,0.00 ,0.00 ,0.00 ,0.01 ,0.14 ,6.16 ,950.24 ,0.00 ,0.00 ,0.00 ,147.29 ,0.29 ,110.41 ,0.00 ,0.00 
X07,23G-WX,0.62 ,0.00 ,1.02 ,0.21 ,1.49 ,0.03 ,1.00 ,0.01 ,2.53 ,0.01 ,0.02 ,78.72 ,0.01 ,0.00 ,0.20 ,0.02 ,0.05 ,0.52 ,0.00 ,0.01 ,0.01 ,0.43 ,8.74 ,916.00 ,0.00 ,0.00 ,0.08 ,230.74 ,0.54 ,160.92 ,0.00 ,2.57 
X09,23G-WX,2.57 ,0.02 ,2.57 ,0.50 ,1.80 ,0.09 ,2.13 ,0.04 ,2.06 ,0.00 ,0.07 ,38.61 ,0.01 ,0.75 ,0.11 ,0.02 ,0.09 ,1.86 ,0.00 ,0.05 ,0.01 ,0.34 ,10.89 ,986.02 ,8.33 ,0.00 ,0.21 ,225.58 ,0.27 ,157.94 ,38.50 ,1.76 
X12,23G-WX,0.84 ,0.02 ,1.05 ,0.27 ,1.04 ,0.14 ,1.67 ,0.33 ,6.44 ,0.00 ,0.04 ,1632.40 ,0.02 ,0.00 ,0.00 ,0.09 ,0.10 ,1.18 ,0.00 ,0.04 ,0.04 ,1.47 ,6.38 ,1523.40 ,0.00 ,258.05 ,0.09 ,239.38 ,1.53 ,155.56 ,0.00 ,5.89 
X19,23G-WX,0.27 ,0.00 ,0.49 ,0.14 ,1.26 ,0.03 ,0.54 ,0.26 ,6.77 ,0.00 ,0.01 ,363.37 ,0.01 ,0.00 ,0.16 ,0.03 ,0.06 ,0.00 ,0.00 ,0.01 ,0.02 ,0.52 ,7.02 ,1339.60 ,11.56 ,0.00 ,0.03 ,0.00 ,0.92 ,143.31 ,56.99 ,4.28 
X20,23G-WX,0.34 ,0.00 ,0.41 ,0.16 ,1.33 ,0.03 ,0.66 ,0.28 ,5.62 ,0.00 ,0.01 ,519.53 ,0.00 ,0.00 ,0.08 ,0.03 ,0.05 ,1.90 ,0.00 ,0.01 ,0.01 ,0.60 ,7.22 ,1061.10 ,14.90 ,0.00 ,0.13 ,136.87 ,0.83 ,145.19 ,0.00 ,4.79 
