ANID ,Group,Sr,Co,B,U,Li,Ni,MgO,Na2O,Ti,Al2O3,K2O,Sc,Zn,CaCO3,Mo,SiO2,Rb,Cd,Mn,Ba,Be,La,Cr,Nd,Y,P,Cs,Eu,Sn,V,Bi,Pb,As,Sb
24CM01,RBR02,0.48,7.13,9.65,0.44,3.40,0.99,41.97,164.73,68.01,497.24,207.10,6.91,13.70,3743.51,0.94,991584.51,1.18,2.47,17.97,2.19,1.63,0.60,0.00,1.09,0.65,38.57,0.04,0.24,1.94,19.63,0.04,2.25,14.90,2.31
24CM02,RBR02,1.72,11.58,101.18,3.66,3.57,3.41,61.89,223.76,68.92,692.70,0.00,18.32,30.62,4867.18,0.00,992071.85,1.92,6.70,39.77,27.40,9.07,1.24,0.00,0.00,1.84,224.93,0.99,1.58,5.83,9.17,1.10,7.96,34.36,6.08
24CM03,RBR02,0.43,16.16,5.28,1.58,0.50,0.10,47.05,175.15,9.03,86.59,81.89,4.59,12.56,3210.37,0.00,995691.70,0.26,1.26,48.73,0.52,0.39,0.24,0.00,0.78,0.22,16.92,0.05,0.00,0.85,0.93,0.50,394.43,2.20,1.67
24CM04,RBR02,0.94,8.61,4.98,1.92,28.88,0.17,11.91,116.21,6.10,448.11,190.38,5.30,6.28,3701.99,0.34,995300.34,0.29,0.34,1.78,0.44,0.00,0.08,27.53,0.33,0.17,17.30,0.04,0.00,1.00,0.66,0.05,0.39,0.85,0.28
24CM05,RBR02,1.10,11.69,10.12,3.63,3.53,0.77,270.55,151.49,36.37,441.47,200.02,5.74,15.64,4030.86,0.67,988860.92,0.40,1.06,18.86,3.28,0.72,1.38,51.52,1.00,1.67,42.26,0.02,0.12,1.37,36.38,0.26,25.41,7.57,2.18
24CO01,RBR01,0.24,4.05,61.98,9.02,0.22,0.27,214.67,146.28,18.52,96.53,121.74,5.46,21.11,3970.48,0.50,994959.62,0.40,1.30,8.25,0.51,1.29,20.90,81.82,10.81,8.28,58.31,0.04,0.81,3.04,10.02,0.23,1.37,1.71,1.59
24CO02,RBR01,28.58,6.91,67.28,19.39,0.42,1.11,33.53,226.13,19.96,801.46,217.15,5.66,14.85,3807.53,1.44,992745.15,0.70,2.51,17.95,92.64,1.66,118.09,0.00,42.32,83.19,502.10,0.08,3.09,4.59,13.22,0.16,105.33,9.65,4.55
24CO03,RBR01,0.48,7.60,57.93,14.18,0.40,0.73,27.53,187.93,9.66,49.99,212.09,4.62,10.14,2861.97,1.81,995888.09,0.39,2.37,15.12,0.54,1.31,8.18,202.96,17.74,9.76,0.00,0.15,1.14,4.16,12.88,0.17,2.11,8.45,2.76
24CO04,RBR01,0.21,17.85,13.28,0.77,5.67,0.42,81.67,89.95,50.05,412.80,179.14,5.44,6.87,3568.34,1.21,993190.21,0.78,0.85,19.07,1.57,0.14,0.19,0.00,0.62,0.31,35.59,0.04,0.14,2.88,22.33,0.15,27.80,21.68,1.77
24CO05,RBR01,0.47,5.94,42.47,7.14,0.12,0.51,35.42,145.91,4.72,71.61,87.65,5.40,14.47,3858.84,0.39,995594.58,0.32,1.83,7.12,0.32,0.76,0.20,0.00,0.00,0.17,37.58,0.10,0.22,2.61,0.84,0.08,0.90,2.45,6.08
24CP01,RBR01,0.53,6.48,13.16,1.57,0.41,0.38,20.23,121.39,4.77,99.05,96.04,6.87,12.50,3837.57,0.59,995584.48,0.27,0.00,6.76,1.12,1.27,2.24,0.00,2.27,0.54,52.42,0.09,0.22,2.92,2.30,0.24,2.27,2.97,1.55
24CP02,RBR01,1930.22,3.58,11.71,1.43,0.13,0.21,28.44,118.87,8.33,53.43,47.39,1.50,489.78,7648.85,0.16,227933.98,0.31,0.27,5.34,760431.00,0.19,6.08,0.00,0.79,204.42,17.69,0.02,12.37,0.64,6.43,0.24,121.44,2.18,1.38
24CP03,RBR01,0.64,13.31,23.34,1.64,7.73,2.30,112.46,173.05,172.73,615.78,299.33,5.65,22.31,3283.62,2.99,980359.66,1.10,4.69,167.33,11.98,2.91,3.18,388.51,3.86,6.67,135.55,0.13,0.57,1.88,68.52,0.06,26.43,97.52,4.18
24CP04,RBR01,0.68,6.96,10.37,1.33,5.16,0.58,277.34,96.99,32.78,162.66,161.95,5.99,23.24,4082.54,1.20,991947.34,0.37,0.58,18.86,3.02,0.54,54.67,47.87,92.98,11.10,78.88,0.04,1.58,1.32,13.74,0.09,30.31,7.68,2.38
24CP05,RBR01,0.65,5.76,75.21,3.38,0.20,0.24,15.04,125.73,3.20,75.79,138.19,5.02,7.75,3094.99,0.26,996064.02,0.24,0.81,3.69,0.30,0.97,0.15,52.65,1.31,0.46,23.98,0.06,0.00,1.30,12.48,0.05,233.36,3.15,0.75
