ANID,Group,Sr,Co,B,U,Li,Ni,MgO,Na2O,Ti,Al2O3,K2O,Sc,Zn,CaCO3,Mo,SiO2,Rb,Cd,Mn,Ba,Be,La,Cr,Nb,Y,P,Cs,Eu,Sn,V,Bi,Pb,As,Sb
24GH05,24G-H,1.409456339,7.091606476,71.1146331,0.545038359,3.13762016,2.570828574,58.154345,222.4761701,21.71922934,460.8532265,0,12.68947339,25.26757738,9775.460192,3.937716408,987681.8371,1.923252519,9.402802875,54.81929155,5.490089564,5.384117007,1.042258654,0,2.635032357,7.428998187,520.097418,0.306823928,1.146573772,5.369738719,7.579567342,0,8.447368449,47.79312971,7.547254116
24GH06,24G-H,0.627607533,8.626834568,30.16497367,1.480861765,1.45317345,1.796548266,11.6332979,118.4380296,12.68158713,164.7338816,93.73784432,7.497375418,4.427391089,3319.394851,1.348235955,994355.6785,0.360462509,0.584972594,26.12027053,24.62173055,0.357988354,0.270469948,0,0.113817967,0.229901667,62.39450934,0.053185313,0.103414046,0.261667686,36.41068301,0.208533618,6.199582932,18.62686507,0.971400282
24GH07,24G-H,1.373270257,5.330215092,17.60960405,1.804137424,2.183842224,0.794864679,7.740941048,65.29359505,44.4393904,72.97832246,0,9.670242107,9.243562419,3406.031439,1.812803099,994357.9615,0.209874038,1.282595624,39.26842513,5.579151116,0,0.473899966,0,0.359433354,0.73935953,99.01490836,0.111606729,0.312798327,0.959702774,18.64129156,0.484019317,9.753497806,29.7980508,2.31040268
24GH08,24G-H,1.073004955,39.13863474,28.85705731,2.031931412,1.496360967,20.26092629,52.07860825,192.9046584,216.6681105,904.7430709,384.1600709,7.87238297,23.97217023,5189.516651,3.132585162,965266.9315,0.97968854,2.427082143,732.2912076,11.96599721,3.119156376,5.97007249,349.6427114,0.743772874,11.13743444,156.0565801,0.254872314,1.051222307,1.658961348,241.8955221,1.275056599,35.30874781,97.46584968,9.017012011
24GH09,24G-H,16.52803657,13.22236266,5.964249397,1.325818822,9.588210821,2.791988358,15.53270357,122.5590482,31.27782533,236.469731,100.9662243,5.948349378,8.809663428,3434.364932,1.529513706,989582.5788,0.315377795,0.339353889,57.64732321,893.8089735,0.290746332,1.625534093,0,0.138658797,1.727146584,34.78349853,0.021597679,0.201574744,0.630642438,71.22806773,0.13667982,12.60199406,18.18663764,1.928518201
24GH10,24G-H,0.942843978,6.114609883,39.84538014,1.936891992,0.097529693,0.132610862,39.58302261,85.9257939,14.47164303,86.72533808,108.9691038,6.208806012,3.416937448,3820.88282,0.414731239,995448.4796,0.263092682,0.313294632,14.79118802,1.402345565,0.688255611,10.15725231,0,0.131293412,1.524902501,40.84115179,0.053682396,0.357876265,0.852033777,5.572201845,0.260597531,59.08218538,5.936119662,1.135195353
24GH11,24G-H,3.515176661,4.931080812,16.55806957,1.662789159,3.792162497,1.395790861,76.879826,218.1030608,46.94667465,699.2399703,424.7920941,7.411210721,16.59814728,6480.944211,2.034513058,991213.1306,1.168244677,2.94244831,21.44879721,65.1832669,2.520984971,0.885672843,0,0.601136978,0.809493716,192.0294836,0.280901685,0,3.999977993,3.896036389,0.608659489,2.151564372,23.97096935,8.222234927
24GH12,24G-H,1.216727934,6.874066158,9.310454758,0.71731798,10.51019267,0.647183585,27.50527318,119.9833277,70.27310828,411.8510162,100.7463139,7.106340276,5.305459088,3408.288355,0,995193.4177,0.23900414,1.087064926,10.26275356,11.89902532,0.573415589,1.290963523,0,0,3.03821365,84.13788832,0.169166078,0.346927499,1.137822562,12.35739775,0.191937198,2.194498937,5.838599359,1.171470571
24GH13,24G-H,7.649940049,23.19911452,4.699231483,0.539094627,2.837964136,2.069298219,17482.44002,281.0939864,215.3079552,25223.98879,478.5146846,7.405967323,9.619453889,5796.463588,0.189375209,942237.4131,2.906319384,0.330575984,9.774197552,39.66575834,0.39857243,0.116839721,0,0.503126918,0.162948763,18.45935624,0.293961902,0.050238336,0.321688566,210.1851499,0.072821054,0.586911899,1.770614241,0.52430552
24GH14,24G-H,2.570466055,21.27267193,163.9624885,1.848185205,2.526659828,10.05318469,67.76435483,113.5178249,331.309953,1572.27627,1294.119839,22.699236,105.2625377,13111.23107,8.140878766,956139.5673,2.597000967,17.66082174,71.5208229,33.05848357,0,5.080891511,0,2.405383066,4.04887436,534.951387,0.561998497,0,1.618530584,147.2778945,0.231950816,18.46352279,132.8221174,17.37600727
24GH15,24G-H,12.24121552,7.747216712,14.42256483,3.464791824,1.195480071,0.439092462,243.611988,113.1090415,6.398217239,188.7536226,142.2377342,6.223404686,10.27355286,4607.176467,0.358492348,993005.7837,0.642073558,1.877367598,31.11145742,594.1332366,0.707351526,47.07530081,0,0.231672829,41.41469566,55.62168902,0,1.283883977,2.356026475,16.79102075,0.465645818,171.7851988,29.17475351,1.839978929
24GI01,24G-I,9.062718036,38.41633723,10.77259158,0.552775546,17.60836192,2.374105916,27762.34631,502.1802447,790.7831905,32336.33136,1418.974931,6.941026199,9.639499295,6318.660202,0.207222426,913119.4172,9.997531003,0.224774157,31.66046334,94.44139304,0.375528068,0.718397842,42.47576311,1.519983846,1.553663944,145.4847119,1.064323264,0.069538999,0.499194207,41.843824,0.192772267,1.107522691,2.423376262,0.517438
24GI03,24G-I,1.616120262,11.53012397,39.8682655,2.467694783,19.27093524,0.405899461,26.50750606,175.3372104,60.19866643,538.4460268,306.3772278,5.904518216,9.271865536,3501.98649,1.14659199,990607.4436,1.032353159,1.119337457,26.61037651,16.31094898,1.278677985,81.15038651,0,0.223596912,7.595845833,100.4528977,0.059365487,0.600240345,0.782662448,46.37224311,0.19274607,3.066840732,47.72964081,2.204272835
24GI04,24G-I,7.655287774,52.96571549,7.841812133,0.597016568,15.9658385,2.34454279,30981.6959,375.3443708,668.3247867,30412.46816,1133.139917,8.313253155,8.449373976,5368.688412,0.103126909,913803.4741,8.345233826,0.279654385,39.35804849,89.66708484,0.488779762,0.832704666,91.93273682,1.174652332,0.447764087,23.79132067,1.008089568,0.083056748,0.480970873,41.43366616,0.06317352,0.693622191,0.789336199,0.583348673
24GI05,24G-I,1.375162332,7.681878271,17.31925597,0.755200928,2.763668352,0.754557597,14.73369672,106.861793,30.01951791,184.8314845,121.1337176,5.071650198,8.913294778,3752.12777,0.631118751,994632.5962,0.630876789,2.319983728,11.54115639,13.34429838,1.321928335,0.488662979,0,0.391889727,0.725584336,55.33695409,0.062626771,0.263857388,0.12562911,25.12487543,0.389367186,4.197108036,16.56987335,1.068516721
24GI06,24G-I,89.56160281,7.345885779,10.82283492,1.673563392,44.06210515,1.096786881,40.71579329,139.0218889,173.3275207,684.4473826,408.6454696,6.145425981,6.326822229,4620.034354,1.406249004,986054.2878,1.356578215,0.6422561,374.3159024,4573.170529,0.687827706,25.54710294,0,0.590453026,21.79387355,91.27646943,0.082772774,0.810681866,1.239324246,29.46592816,0.136016927,44.087207,56.02547075,2.066478859
24GI07,24G-I,3245.955908,9.811033549,18.79157837,2.733903203,9.506840228,0.248665944,597.784632,121.678609,27.64213254,224.0191225,184.6625823,6.166374661,35.4690355,14141.62333,1.232397674,920822.8261,0.695022496,3.437438677,66.59886643,59825.70737,0.736268774,3.244914774,199.324856,0.234087544,18.65806853,51.65483847,0.153139506,2.169437705,0.892570715,6.271025517,0.487577562,94.8076296,8.064441622,2.548907593
24GI08,24G-I,11.46607092,52.05408608,28.83703217,0.675596996,25.72935222,3.638054592,33511.19903,586.847076,937.9653616,42378.45998,2089.793734,8.167591583,11.80084115,17497.54107,0.235033273,881986.8678,14.04954165,0.351666283,62.83394951,30.25867956,0.347813165,0.482486462,71.80452456,1.939108365,0.781640021,21.54741748,1.784730399,0.04676304,0.509040141,38.66908781,0.144673944,0.926182105,2.538918445,0.469307816
24GI09,24G-I,10.96207352,41.69300883,10.66658927,0.628734759,18.9780797,2.019917775,32769.8111,474.3674628,931.8136604,37788.01627,1564.827983,7.017151612,14.59873383,12614.53116,0.131936524,896987.0195,11.27719001,0.387997457,34.88250504,67.44621564,0.55270305,0.258466698,61.76691956,2.38771173,0.345841176,23.53828038,1.270732856,0.082739801,0.562465789,40.50139328,0.162072301,0.521007729,3.224339169,0.410141991
24GI10,24G-I,5.136576289,6.608375718,19.19649754,1.022569673,5.789171405,0.56013165,38.20571185,142.2310564,31.13000013,182.6511462,209.0182527,5.65368122,15.84135507,3990.391343,0.681837898,993318.5122,0.598137723,1.020193425,47.42255502,1422.549649,0.896902598,0.229460051,0,0.29375488,1.320053692,0,0.042997424,0.542643383,1.313598763,2.584294997,0.348251444,173.234743,11.48993664,0.838936877
24GI11,24G-I,7.526521181,20.19218066,10.69615948,0.751558133,34.04735661,0.934631777,76.54688407,143.4889795,89.32661046,530.1811891,243.4543622,6.849462712,13.16883082,10632.02104,0.474624465,986234.7176,1.360149189,0.672960696,57.07899529,40.8635069,0.426059412,0.217079905,0,0.069468644,0.495776585,29.77330895,0.050461747,0.085041617,0.489259525,25.74480134,0.436903667,79.14871692,14.16344675,0.621805315
