ANID,Group,Sr,Co,B,Ni,U,Li,MgO,Na2O,Ti,Sc,Al2O3,K2O,CaCO3,Zn,Mo,SiO2,Cd,Ba,Rb,Cr
23G-W03,23G-W,12.72782686,7.267287393,28.40422565,0.158078242,0.804471415,0.360972856,97.32442565,205.3036287,5.526749309,7.026903453,34.62461759,78.18112166,8591.189249,12.96544283,1.160093897,990618.1349,0.818555154,49.88033826,0.156497909,42.0760937
23G-W04,23G-W,7.147921638,39.91218406,39.67397781,41.78293358,0.926618584,4.604579689,499.6489314,1025.263962,49.40640382,5.747027599,1313.718522,237.0926991,3343.985201,60.24456789,5.988072761,890167.7627,0.856680351,11.88873365,0.282805534,13.37618076
23G-W05,23G-W,6.257366117,9.187219816,54.26439378,1.547516167,1.442215977,2.184486366,131.3574271,854.1580678,987.6963196,6.73761161,1471.267516,378.6507265,6156.858013,22.60559169,1.84788721,982850.3152,2.716370638,11.21913304,1.094070839,147.1995405
23G-W09,23G-W,1.836877832,5.818615456,34.95436812,0.833625263,0.909296366,0.462883449,41.64417991,175.0963842,17.74860468,7.19328299,168.1133385,132.7172724,4492.56004,9.661049187,0.213565182,993738.9249,0.627876189,4.643950956,0.240084764,38.69609009
23G-W10,23G-W,4.519541916,10.90151258,38.41371504,0.947231299,0.844317885,0.605993776,58.85725962,122.4858395,18.67179689,6.459949857,92.59851422,0,6244.972347,21.7746497,1.059272669,992472.1332,9.342703903,27.16478648,0.476323391,0
23G-W13,23G-W,4.743743829,6.981746229,40.7602585,1.074625109,0.946283651,1.419883999,82.90454857,293.7536216,31.4215231,7.407095157,221.4017869,234.6132499,7337.407064,37.57112839,2.261329306,990315.3059,2.991712722,8.117028624,1.010497155,225.0126398
23G-W14,23G-W,12.96605223,4.566251813,33.85957845,0.579397231,0.654260671,0.221326518,106.0651445,247.0989918,11.14132317,6.359430575,15.48258428,121.9690576,11684.80184,19.04408686,0.776459688,986520.0041,1.565329153,45.4288734,0.099757375,0
23G-W18,23G-W,5.031190811,5.484349306,40.33382896,2.116403788,1.027399889,1.516998625,149.5892468,756.4511846,77.20018797,7.437444211,405.5068889,301.2585244,6208.914448,30.58716781,2.186293658,989504.4821,3.555552662,18.83796448,0.926424719,0
23G-X01,23G-X,2.567135407,0.555063841,53.3714748,8.620749705,0.788874219,0.268968303,192.7235147,204.9277487,26.11245101,7.538225192,339.7276149,251.9692728,4545.488962,79.53508802,0.581956582,991989.9407,1.900061274,2.395736745,1.078118092,96.99636808
23G-X02,23G-X,2.193651295,0.873361764,73.78101574,9.011346025,1.943763492,0.752662438,158.0423624,316.6114079,170.3656654,10.78279411,1129.22936,675.6578726,5385.671052,65.34215741,1.387590019,990550.0414,1.537068361,6.65538525,2.71438913,153.3305961
23G-X04,23G-X,3.306349298,0.958795931,60.34930746,7.782049219,1.341841592,0.477055445,59.28613286,266.2866332,31.37303467,8.509954821,209.1292645,228.330503,4130.286361,30.31655589,1.077909835,990176.0544,0.78943989,8.911280518,0.188812865,0
23G-X05,23G-X,2.164373052,0.557587711,45.47882322,8.968050855,1.03374692,4.417164148,92.76074457,355.9344251,61.19297717,8.38016081,623.4872636,346.1778043,4317.910016,23.75716125,0.289180058,990808.0697,0.522201792,6.133883449,0.538210016,45.90845162
23G-X07,23G-X,2.347493225,1.054816246,51.34248427,7.57154795,1.311314286,0.411444576,75.55455232,235.6188152,24.6938244,8.715783685,296.1979484,234.0084046,4435.894077,53.92714041,0.361374895,993388.9823,1.922754835,9.098613013,0.366548895,73.35206118
23G-X09,23G-X,1.228482931,0.818314805,58.69701695,8.74010549,0.936669638,0.487586192,65.99743849,273.6914212,27.67442992,8.540471676,436.6061815,293.5700826,4417.23067,28.37436246,0.502712114,987077.2355,0.465745421,2.965652125,0.435729945,78.27293474
23G-X10,23G-X,1.657672226,0.939107495,63.3404149,9.664877873,2.706697147,0.65622885,57.55038173,291.4338674,17.63512854,8.731562568,294.9699451,212.0574971,4322.749987,30.72628679,0.551402727,984340.4859,0.247719897,2.32334837,0.241522764,29.02638803
23G-X11,23G-X,3.037162782,0.36768259,43.2995408,8.397553637,1.133155449,6.528190192,129.11374,502.7407052,269.4061074,7.850489306,1373.340274,644.5321595,3953.408662,52.95397215,0.392220525,991094.9249,0.78257779,8.074655938,1.181552779,57.22580538
23G-X12,23G-X,1.497226479,9.577824998,46.19292734,0.667932926,0.659368799,4.752394981,44.24004784,206.1588519,15.96567339,8.102727684,440.4369973,186.3518099,5498.747103,27.75513431,0.781641382,990747.5165,0.923198429,2.054911142,0.166939972,101.0748725
23G-X14,23G-X,7.610226298,0.535815961,27.52664469,7.948991991,1.226999158,0.216758449,202.7580162,139.9621404,11.94642312,8.808610203,73.70067706,125.3561788,6916.271987,29.16226753,0.315999082,989775.3644,0.698732604,20.96891897,0.083511652,46.12455027
23G-X18,23G-X,2.452164494,0.418277939,55.89669247,11.45949924,0.974547878,1.981560759,128.9457598,362.5388508,54.61571117,8.8911818,682.5703298,436.8859901,4089.845357,38.08210879,0.803146396,992326.5301,0.772102753,10.41987775,0.666911843,92.38608277
23G-X19,23G-X,2.172134923,2.239501858,35.1430108,10.41664657,1.064740606,0.394235509,54.71232445,159.4353345,38.13488614,9.666302775,165.6601661,0,5424.329243,48.38187527,1.323778769,989483.694,1.15255369,16.17042318,0.293870471,173.9063489
23G-X20,23G-X,1.241488001,0.404182234,47.86300951,7.763941302,1.116732079,0.161965793,78.61662569,194.2086303,49.27787943,9.169358146,104.4782203,174.2737793,3943.993021,36.459101,0.818931956,992318.5688,1.386401793,0.948048082,0.355790929,161.5978239
23G-X21,23G-X,2.865181885,7.107230022,47.71753931,1.571925331,1.4769823,1.862716193,61.49520898,362.6366607,138.1570246,8.698736902,435.3106459,298.8462999,4274.985175,52.72829231,1.200035988,988147.4411,1.417365257,5.234195707,0.372798675,156.967184
23G-X22,23G-X,1.514826666,6.653494837,38.95405375,0.491890747,0.953748401,1.377085906,41.59015884,229.7487753,21.57168498,6.312821312,406.3420457,154.5943289,4392.517435,30.51207647,0.686241136,994355.4064,1.519726836,7.921669078,0.324574307,0
23G-Y01,23G-Y,58.06379936,4.983683723,62.790881,16.84866449,3.685606729,7.175827035,423.8452138,749.4604459,179.7956921,7.01615235,1643.745191,688.186395,4456.946839,41.68593915,0.946939655,976492.7834,0.770575734,309.667459,2.887339176,119.5936201
23G-Y02,23G-Y,133.7659486,2.027949566,56.95233737,19.98997241,12.54864344,12.71448013,270.8766039,1109.82941,240.977024,9.397751015,2879.756509,1075.29927,11343.52029,106.196567,1.595697238,974229.4382,1.095616092,14.56004159,2.332560357,55.72759201
23G-Y03,23G-Y,10.76118092,0.24873305,46.78924094,8.969853459,0.894478373,4.209665544,68.45785864,259.5573306,168.3078296,8.09542208,387.9689256,218.9610264,4183.19371,22.93307234,0.674539969,991038.9306,0.270452947,183.7665939,0.336538229,42.14387217
23G-Y04,23G-Y,9.817034871,0.191990895,32.11307346,9.099088255,0.339271528,6.261892854,65.95966103,208.1810262,18.86999457,8.225014582,372.3898302,201.6306767,4070.710879,34.3082304,0.307768345,994021.4828,0.233029895,180.1486563,0.370905738,35.14186922
23G-Y05,23G-Y,2.041839378,7.504546826,67.31318942,0.302990849,2.154632661,0.301468558,81.1457431,306.9087177,5.978633186,7.449210151,133.9442352,180.899253,5013.170041,62.79429591,0.979907543,993184.719,1.157371047,3.315325258,0.722984197,0
23G-Y06,23G-Y,4.307230478,1.362145824,39.8487959,13.07395664,1.032534565,5.917491385,79.67731235,288.0227611,29.07358502,7.416038478,805.9836891,221.3193397,3900.353038,27.62529249,0.399769577,989523.7761,0.851314364,43.54417361,0.375430125,43.38251537
23G-Y07,23G-Y,11.11846708,4.405446858,44.59064368,20.42903031,1.681632491,8.424196133,163.2227571,295.8739961,66.1833626,7.98466578,1085.43874,241.4831623,5040.110541,53.6249644,1.955264176,977561.4758,1.336104245,49.52794832,0.583454349,57.64566257
23G-Y08,23G-Y,4.187610999,12.04064175,52.29035633,42.31695297,7.160349112,0.489086269,179.6050529,286.7348606,256.1807759,11.75089569,335.777723,726.3553688,5422.322215,133.5556619,63.24423045,960653.2674,1.809329148,8.004462525,1.123344773,1157.577055
23G-Y09,23G-Y,4.158335965,0.110549965,37.92614568,7.79386861,0.372517452,4.130386693,55.56808537,204.5806779,27.06624138,8.032853121,338.2844939,173.965232,3787.87848,27.96191045,0.199645133,994518.6493,0.16213485,40.61952298,0.220544494,35.99279178
23G-Y10,23G-Y,2.233234628,0.374636901,72.1852392,10.09620029,1.577564586,4.670102428,84.69601292,516.8518593,83.19050616,8.555729923,694.1926109,444.7343129,3913.575884,46.84097182,0.448453455,993534.4774,2.032212969,5.21887303,1.034232157,0
23G-Z01,23G-Z,4.853887479,9.036495921,67.24374624,1.563609539,0.990700973,4.575704384,106.8299335,572.2694758,154.2661754,7.10455722,1177.207238,359.0303519,6125.952853,52.96497192,2.497231895,984247.9527,2.765143423,18.71626085,1.134579252,77.95551222
23G-Z02,23G-Z,644.9649919,9.651614331,58.59602671,1.210897755,1.964629235,2.666390659,116.8580909,638.5447261,334.917985,10.02911672,1042.715579,457.22058,8430.453071,84.83736456,4.684607537,963099.9573,5.412718081,13222.68039,1.405869758,0
23G-Z03,23G-Z,11.72986526,29.21755761,55.80149195,8.392685183,2.752637118,2.441971679,125.5641472,582.4425361,145.2043455,9.998533126,1324.836811,580.6348218,7316.619862,119.1552021,8.293669149,981152.0303,5.877402991,4.697728031,5.797080273,0
23G-Z04,23G-Z,5.996361275,16.19107942,59.39431776,2.221677796,0.910833755,12.47429749,148.8502302,564.6105933,200.3430414,9.378274662,1359.544642,327.704334,6010.988697,39.38423428,2.710452679,977628.3451,7.20297422,11.0772194,1.641937155,175.7653456
